- Ademuz,"40.06174,-1.286526"
- Chelva,"39.74751,-0.997679"
- Chera,"39.59335,-0.9727963"
- Cheste,"39.49511,-0.6845004"
- Chiva,"39.47272,-0.717811"
- Chulilla,"39.65631,-0.8918707"
- Cofrentes,"39.22937,-1.061885"
- Corbera,"39.15796,-0.3554173"
- Cortes de Pallás,"39.2431,-0.9407222"
- Cotes,"39.07086,-0.5760061"
- Cullera,"39.16514,-0.2559119"
- Daimús,"38.97,-0.1538377"
- Domeño,"39.66214,-0.6708114"
- Dos Aguas,"39.28932,-0.7998479"
- Eliana (l'),"39.56632,-0.5302467"
- Emperador,"39.55432,-0.3396982"
- Enguera,"38.98003,-0.6884746"
- Ènova (l'),"39.04391,-0.4802662"
- Estivella,"39.71229,-0.347827"
- Estubeny,"39.01794,-0.623651"
- Faura,"39.72596,-0.2636878"
- Favara,"39.12743,-0.2910376"
- Foios,"39.53762,-0.3565129"
- Font d'En Carròs (la),"39.48134,-0.3268051"
- Font de la Figuera (la),"38.80746,-0.8817337"
- Fontanars dels Alforins,"38.78442,-0.785831"
- Fortaleny,"39.18376,-0.3135945"
- Fuenterrobles,"39.58606,-1.363273"
- Gandia,"38.96902,-0.1851868"
- Gátova,"39.77004,-0.5198705"
- Gavarda,"39.0915,-0.5596363"
- Genovés,"38.98903,-0.4675873"
- Gestalgar,"39.60403,-0.8332318"
- Gilet,"39.67611,-0.3244466"
- Godella,"39.5223,-0.4171347"
- Godelleta,"39.42506,-0.6861337"
- Granja de la Costera (la),"38.99599,-0.5571381"
- Guadasequies,"38.92407,-0.4862645"
- Guadassuar,"39.18823,-0.4792251"
- Guardamar de la Safor,"38.96134,-0.1492884"
- Higueruelas,"39.79007,-0.8614262"
- Jalance,"39.19175,-1.077386"
- Jarafuel,"39.13987,-1.073111"
- Llanera de Ranes,"38.99286,-0.5719063"
- Llaurí,"39.14708,-0.3302556"
- Llíria,"39.62458,-0.5947581"
- Llocnou d'En Fenollet,"39.01358,-0.467483"
- Llocnou de la Corona,"39.42027,-0.3823406"
- Llocnou de Sant Jeroni,"38.91246,-0.2856349"
- Llombai,"39.28243,-0.5724804"
- Llosa de Ranes (la),"39.01865,-0.5336824"
- Llutxent,"38.94266,-0.3566575"
- Loriguilla,"39.49041,-0.570056"
- Losa del Obispo,"39.69542,-0.8719551"
- Macastre,"39.38176,-0.7852511"
- Manises,"39.49073,-0.4558824"
- Manuel,"39.05259,-0.4940807"
- Marines,"39.67394,-0.5621002"
- Masalavés,"39.14076,-0.5211942"
- Massalfassar,"39.55756,-0.3263003"
- Massamagrell,"39.56923,-0.3351273"
- Massanassa,"39.4113,-0.4002014"
- Meliana,"39.52907,-0.348772"
- Millares,"39.23738,-0.7732546"
- Miramar,"38.9516,-0.1387654"
- Mislata,"39.47624,-0.4193065"
- Mogente/Moixent,"38.87389,-0.751962"
- Moncada,"39.54554,-0.3934617"
- Montaverner,"38.88851,-0.4963465"
- Montesa,"38.94968,-0.6511041"
- Montitxelvo/Montichelvo,"38.89122,-0.3389177"
- Montroy,"39.34037,-0.6145464"
- Montserrat,"39.3578,-0.6031014"
- Museros,"39.56345,-0.3406455"
- Náquera,"39.65884,-0.4257069"
- Navarrés,"39.10121,-0.6936884"
- Novelé/Novetlè,"38.9798,-0.5479128"
- Oliva,"38.91939,-0.1226779"
- Olleria (l'),"38.91419,-0.5494962"
- Olocau,"39.69985,-0.5312006"
- Ontinyent,"38.82102,-0.610547"
- Otos,"38.8542,-0.4449853"
- Paiporta,"39.42845,-0.4188691"
- Palma de Gandía,"38.92455,-0.2206952"
- Palmera,"38.94215,-0.1523275"
- Palomar (el),"38.85373,-0.5028418"
- Paterna,"39.50206,-0.4405986"
- Pedralba,"39.60485,-0.7265272"
- Petrés,"39.68353,-0.3095023"
- Picanya,"39.43625,-0.4346522"
- Picassent,"39.36,-0.4626281"
- Piles,"38.94081,-0.1345093"
- Pinet,"38.98334,-0.338099"
- Pobla de Farnals (la),"39.57779,-0.326051"
- Pobla de Vallbona (la),"39.59043,-0.5529038"
- Pobla del Duc (la),"38.90348,-0.4173577"
- Pobla Llarga (la),"39.08592,-0.4755329"
- Polinyà de Xúquer,"39.19607,-0.3696187"
- Potríes,"38.91528,-0.1954594"
- Puçol,"39.61639,-0.300809"
- Puebla de San Miguel,"40.04535,-1.145066"
- Puig,"39.59015,-0.3020956"
- Quart de les Valls,"39.73926,-0.2714849"
- Quart de Poblet,"39.48259,-0.4450733"
- Quartell,"39.73771,-0.2632652"
- Quatretonda,"38.94835,-0.4022922"
- Quesa,"39.1196,-0.7405544"
- Rafelbuñol/Rafelbunyol,"39.58852,-0.3310583"
- Rafelcofer,"38.93344,-0.1661192"
- Rafelguaraf,"39.05197,-0.45462"
- Ráfol de Salem,"38.86491,-0.3966209"
- Real de Gandía,"38.95022,-0.1937845"
- Real de Montroi,"39.33588,-0.609548"
- Requena,"39.48788,-1.100322"
- Riba-roja de Túria,"39.54548,-0.5667182"
- Riola,"39.19768,-0.3343216"
- Rocafort,"39.53096,-0.4104713"
- Rotglà i Corberà,"39.00407,-0.565334"
- Rótova,"38.9326,-0.2569871"
- Rugat,"38.87893,-0.3614008"
- Sagunto/Sagunt,"39.68077,-0.2779768"
- Salem,"38.85503,-0.3811189"
- San Antonio de Benagéber,"39.56189,-0.5004753"
- Sant Joan de l'Ènova,"39.07154,-0.488145"
- Sedaví,"39.42505,-0.3857862"
- Segart,"39.68359,-0.3736177"
- Sellent,"39.03104,-0.5877986"
- Sempere,"38.9197,-0.4808759"
- Senyera,"39.06372,-0.5105379"
- Serra,"39.68616,-0.4296759"
- Siete Aguas,"39.47197,-0.9170417"
- Silla,"39.36135,-0.4126143"
- Simat de la Valldigna,"39.04354,-0.3106008"
- Sinarcas,"39.73395,-1.231574"
- Sollana,"39.27798,-0.3814589"
- Sot de Chera,"39.62111,-0.9100129"
- Sueca,"39.20264,-0.3106423"
- Sumacàrcer,"39.09618,-0.6296024"
- Tavernes Blanques,"39.50699,-0.3655908"
- Tavernes de la Valldigna,"39.07167,-0.2677154"
- Teresa de Cofrentes,"39.10665,-1.051532"
- Terrateig,"38.89435,-0.3206492"
- Titaguas,"39.86609,-1.080663"
- Torrebaja,"40.09685,-1.257538"
- Torrella,"38.98889,-0.5717116"
- Torrent,"39.43688,-0.4653109"
- Torres Torres,"39.74312,-0.355686"
- Tous,"39.1381,-0.5867855"
- Tuéjar,"39.76346,-1.039951"
- Turís,"39.38978,-0.7114099"
- Utiel,"39.56762,-1.203385"
- Valencia,"39.47024,-0.3768049"
- Vallada,"38.89553,-0.6917616"
- Vallanca,"40.06289,-1.338187"
- Vallés,"38.98592,-0.5563067"
- Venta del Moro,"39.48389,-1.358879"
- Vilamarxant,"39.56751,-0.6222726"
- Villalonga,"38.88487,-0.209364"
- Villanueva de Castellón,"39.07954,-0.5141599"
- Villar del Arzobispo,"39.73537,-0.8277042"
- Villargordo del Cabriel,"39.53635,-1.440612"
- Vinalesa,"39.54,-0.3699957"
- Xàtiva,"38.98887,-0.5156137"
- Xeraco,"39.0329,-0.2160497"
- Xeresa,"39.0091,-0.2179918"
- Xirivella,"39.46669,-0.4277937"
- Yátova,"39.385,-0.808174"
- Yesa (La),"39.49916,-0.426125"
- Zarra,"39.09138,-1.075068"
